Date,Open,High,Low,Close,Adj Close,Volume,,
30/03/2022,132.009995,133.080002,131.389999,132.130005,125.85714,2622900,,-0.015969114
31/03/2022,130.720001,131.880005,130,130.020004,123.847313,4274000,,0.000999755
01/04/2022,129.660004,130.270004,128.059998,130.149994,123.97113,4012400,,0.000922142
04/04/2022,130.259995,130.449997,128.929993,130.270004,124.085449,2809800,,-0.010593434
05/04/2022,129.850006,131.229996,128.660004,128.889999,122.770958,3107200,,
06/04/2022,127.779999,129.509995,127.25,129.389999,123.247223,3958100,,
07/04/2022,128.869995,129.25,126.730003,128.550003,122.447105,3538300,,
08/04/2022,128.009995,128.779999,127.269997,127.730003,121.666039,3143300,,
11/04/2022,127.949997,128.179993,126.18,126.370003,120.370598,3202500,,
12/04/2022,126.419998,127.339996,125.580002,125.980003,119.999115,2691000,,
13/04/2022,125.639999,126.669998,124.910004,126.139999,120.151512,3064900,,
14/04/2022,128.929993,130.580002,126.379997,126.559998,120.551567,6384200,,
18/04/2022,126.599998,127.389999,125.529999,126.169998,120.180092,4884200,,
19/04/2022,126.080002,129.399994,126,129.149994,123.018608,7971400,,
20/04/2022,135,139.559998,133.380005,138.320007,131.753265,17859200,,
21/04/2022,138.229996,141.880005,137.350006,139.850006,133.210632,9922300,,
22/04/2022,139.699997,140.440002,137.350006,138.25,131.686584,6508600,,
25/04/2022,137.589996,139.649994,135.190002,139.100006,132.496246,5748300,,
26/04/2022,139,139.869995,136.169998,136.190002,129.724396,4956200,,
27/04/2022,135.779999,137.119995,134.630005,135.059998,128.648041,4369100,,
28/04/2022,136.850006,136.990005,134.809998,135.740005,129.295776,4474300,,
29/04/2022,135.130005,135.550003,132,132.210007,125.93335,5078700,,
02/05/2022,133,133.770004,130.889999,133.039993,126.723923,4213500,,
03/05/2022,133,133.600006,131.990005,132.520004,126.22863,3688600,,
04/05/2022,132.869995,137.869995,132.139999,137.399994,130.876938,5932600,,
05/05/2022,136.460007,137.259995,134.759995,135.919998,129.467224,5957400,,
06/05/2022,135.470001,137.990005,135.470001,137.669998,131.13414,7306400,,
09/05/2022,134.410004,136.350006,133.320007,134.440002,129.61087,7647900,,
10/05/2022,135,135.410004,128.429993,129.130005,124.491623,8642400,,
11/05/2022,129.860001,132.960007,129.860001,130.75,126.053429,5301100,,
12/05/2022,131.270004,133.619995,130.410004,132.899994,128.12619,5384800,,
13/05/2022,133,133.800003,131.050003,133.600006,128.801056,4195100,,
16/05/2022,133.100006,136.509995,132.410004,135.029999,130.179688,4250400,,
17/05/2022,137.190002,138.369995,135.639999,138.369995,133.399704,4372900,,
18/05/2022,137.100006,137.619995,132.169998,132.940002,128.164749,6003000,,
19/05/2022,132,132.320007,128.710007,129.660004,125.002586,5819700,,
20/05/2022,130.179993,130.369995,125.800003,128.479996,123.86496,6914500,,
23/05/2022,129.5,131.949997,129.419998,131.169998,126.458344,3591500,,
24/05/2022,130.570007,134.369995,130.419998,133.800003,128.993866,4189700,,
25/05/2022,132.860001,134.820007,132.860001,134.389999,129.562683,3299300,,
26/05/2022,135,137.550003,134.520004,136.889999,131.97287,3929300,,
27/05/2022,137.389999,139.740005,137.240005,139.270004,134.267395,4608000,,
31/05/2022,138.199997,139.830002,136.809998,138.839996,133.852829,7978100,,
01/06/2022,139.669998,140.470001,138.520004,139.429993,134.421631,3796500,,
02/06/2022,139.449997,140.289993,136.850006,140.149994,135.115768,3734800,,
03/06/2022,140.259995,142.580002,139.740005,141.179993,136.108765,4352200,,
06/06/2022,142.979996,144.729996,142,142.880005,137.747711,4766900,,
07/06/2022,142.600006,142.979996,140.960007,142.779999,137.651306,2887100,,
08/06/2022,142.070007,142.800003,140.149994,140.830002,135.771347,3005700,,
09/06/2022,140.149994,141.039993,137.929993,137.960007,133.004456,3591000,,
10/06/2022,137.800003,137.800003,135.25,136.190002,131.298019,4659500,,
13/06/2022,133.970001,137.570007,133.759995,135.110001,130.256821,6486000,,
